service_date,day_type,bus,rail_boardings,total_rides
2023-12-28,W,392855,253397,646252
2023-12-29,W,415822,261610,677432
2023-12-30,A,340207,212901,553108
2023-12-31,U,250204,187144,437348
2024-01-01,U,205964,152767,358731
2024-01-02,W,417384,278216,695600
2024-01-03,W,451613,307037,758650
2024-01-04,W,460277,317437,777714
2024-01-05,W,445488,280897,726385
2024-01-06,A,308872,196983,505855
2024-01-07,U,249187,152158,401345
2024-01-08,W,517198,326817,844015
2024-01-09,W,478685,330005,808690
2024-01-10,W,548560,369768,918328
2024-01-11,W,552911,377922,930833
2024-01-12,W,368347,239249,607596
2024-01-13,A,286037,183824,469861
2024-01-14,U,146724,93057,239781
2024-01-15,W,206791,127069,333860
2024-01-16,W,280514,185903,466417
2024-01-17,W,466850,322741,789591
2024-01-18,W,521058,362414,883472
2024-01-19,W,462986,293650,756636
2024-01-20,A,301556,191705,493261
2024-01-21,U,227288,147028,374316
2024-01-22,W,518106,336751,854857
2024-01-23,W,521585,369664,891249
2024-01-24,W,549204,389714,938918
2024-01-25,W,554313,390971,945284
2024-01-26,W,534739,329826,864565
2024-01-27,A,349068,222033,571101
2024-01-28,U,255458,158081,413539
2024-01-29,W,545769,340556,886325
2024-01-30,W,571297,388718,960015
2024-01-31,W,579236,389322,968558
2024-02-01,W,601932,393012,994944
2024-02-02,W,558905,329307,888212
2024-02-03,A,372165,230410,602575
2024-02-04,U,274654,168339,442993
2024-02-05,W,558625,339256,897881
2024-02-06,W,595983,390513,986496
2024-02-07,W,595233,389227,984460
2024-02-08,W,584729,391355,976084
2024-02-09,W,515769,333453,849222
2024-02-10,A,373420,231891,605311
2024-02-11,U,277432,165836,443268
2024-02-12,W,534181,325070,859251
2024-02-13,W,598961,395880,994841
2024-02-14,W,595347,397294,992641
2024-02-15,W,568392,387472,955864
2024-02-16,W,533701,325332,859033
2024-02-17,A,340993,224306,565299
2024-02-18,U,280002,189881,469883
2024-02-19,W,417871,271357,689228
2024-02-20,W,591252,389327,980579
2024-02-21,W,600241,395915,996156
2024-02-22,W,587867,396466,984333
2024-02-23,W,551392,336416,887808
2024-02-24,A,345189,225233,570422
2024-02-25,U,280214,175446,455660
2024-02-26,W,560355,347691,908046
2024-02-27,W,587359,392420,979779
2024-02-28,W,549028,375242,924270
2024-02-29,W,577283,386672,963955
2024-03-01,W,569569,335736,905305
2024-03-02,A,389713,252550,642263
2024-03-03,U,298601,184885,483486
2024-03-04,W,556051,334107,890158
2024-03-05,W,570139,383689,953828
2024-03-06,W,595103,393574,988677
2024-03-07,W,580398,390865,971263
2024-03-08,W,488443,314783,803226
2024-03-09,A,379680,245369,625049
2024-03-10,U,280181,178611,458792
2024-03-11,W,567851,351801,919652
2024-03-12,W,599389,411314,1010703
2024-03-13,W,597287,416180,1013467
2024-03-14,W,539322,393348,932670
2024-03-15,W,566639,386514,953153
2024-03-16,A,399006,499424,898430
2024-03-17,U,281004,206731,487735
2024-03-18,W,535201,346463,881664
2024-03-19,W,583292,396834,980126
2024-03-20,W,584856,392077,976933
2024-03-21,W,564484,383735,948219
2024-03-22,W,491011,318712,809723
2024-03-23,A,373194,249326,622520
2024-03-24,U,279349,206108,485457
2024-03-25,W,474355,319635,793990
2024-03-26,W,514563,359360,873923
2024-03-27,W,515194,364672,879866
2024-03-28,W,513043,374590,887633
2024-03-29,W,480044,313507,793551
2024-03-30,A,375490,244072,619562
2024-03-31,U,251600,158867,410467
2024-04-01,W,478962,333881,812843
2024-04-02,W,570490,393519,964009
2024-04-03,W,572710,395413,968123
2024-04-04,W,575373,401414,976787
2024-04-05,W,576732,375602,952334
2024-04-06,A,397658,286304,683962
2024-04-07,U,256839,185460,442299
2024-04-08,W,560623,352426,913049
2024-04-09,W,593688,400628,994316
2024-04-10,W,604655,405524,1010179
2024-04-11,W,557100,397195,954295
2024-04-12,W,582983,365492,948475
2024-04-13,A,412391,281343,693734
2024-04-14,U,327938,210780,538718
2024-04-15,W,588349,369259,957608
2024-04-16,W,599597,405400,1004997
2024-04-17,W,600084,408474,1008558
2024-04-18,W,606325,417750,1024075
2024-04-19,W,591814,383321,975135
2024-04-20,A,406861,279746,686607
2024-04-21,U,307107,203722,510829
2024-04-22,W,576206,353190,929396
2024-04-23,W,600004,410045,1010049
2024-04-24,W,599179,416815,1015994
2024-04-25,W,615343,428724,1044067
2024-04-26,W,554146,355278,909424
2024-04-27,A,419731,286199,705930
2024-04-28,U,293589,196481,490070
2024-04-29,W,556233,349857,906090
2024-04-30,W,632501,409097,1041598
2024-05-01,W,644438,416920,1061358
2024-05-02,W,600203,409105,1009308
2024-05-03,W,608085,388593,996678
2024-05-04,A,418067,299808,717875
2024-05-05,U,317248,226928,544176
2024-05-06,W,597540,379559,977099
2024-05-07,W,572181,412646,984827
2024-05-08,W,624927,443868,1068795
2024-05-09,W,569230,406557,975787
2024-05-10,W,591810,378284,970094
2024-05-11,A,416481,273276,689757
2024-05-12,U,318883,203067,521950
2024-05-13,W,550608,349237,899845
2024-05-14,W,598482,410254,1008736
2024-05-15,W,615430,419635,1035065
2024-05-16,W,601542,434466,1036008
2024-05-17,W,595193,402254,997447
2024-05-18,A,430341,315833,746174
2024-05-19,U,329129,250996,580125
2024-05-20,W,561715,366053,927768
2024-05-21,W,618559,443937,1062496
2024-05-22,W,621123,450124,1071247
2024-05-23,W,609570,457738,1067308
2024-05-24,W,557209,368883,926092
2024-05-25,A,420064,342285,762349
2024-05-26,U,279820,220267,500087
2024-05-27,U,306648,205186,511834
2024-05-28,W,585174,396139,981313
2024-05-29,W,612055,423439,1035494
2024-05-30,W,604848,424200,1029048
2024-05-31,W,590998,410904,1001902
2024-06-01,A,359226,257545,616771
2024-06-02,U,347275,256837,604112
2024-06-03,W,594326,377947,972273
2024-06-04,W,602909,443126,1046035
2024-06-05,W,602717,450039,1052756
2024-06-06,W,606273,440625,1046898
2024-06-07,W,538174,384835,923009
2024-06-08,A,388074,295372,683446
2024-06-09,U,338317,265680,603997
2024-06-10,W,521105,360674,881779
2024-06-11,W,556731,415884,972615
2024-06-12,W,576142,423834,999976
2024-06-13,W,541343,414773,956116
2024-06-14,W,536639,412548,949187
2024-06-15,A,421892,329557,751449
2024-06-16,U,314305,239123,553428
2024-06-17,W,500089,363300,863389
2024-06-18,W,551782,426829,978611
2024-06-19,W,482860,349203,832063
2024-06-20,W,548449,411020,959469
2024-06-21,W,539303,406032,945335
2024-06-22,A,430009,334791,764800
2024-06-23,U,333514,259057,592571
2024-06-24,W,535003,366575,901578
2024-06-25,W,537591,390929,928520
2024-06-26,W,586929,426272,1013201
2024-06-27,W,573982,434454,1008436
2024-06-28,W,519127,372226,891353
2024-06-29,A,426204,296659,722863
2024-06-30,U,332479,322925,655404
2024-07-01,W,556122,362056,918178
2024-07-02,W,554430,411251,965681
2024-07-03,W,575361,404738,980099
2024-07-04,U,319593,237409,557002
2024-07-05,W,472097,346546,818643
2024-07-06,A,400805,322596,723401
2024-07-07,U,304485,241639,546124
2024-07-08,W,523371,364702,888073
2024-07-09,W,543503,400891,944394
2024-07-10,W,560627,409640,970267
2024-07-11,W,569850,418692,988542
2024-07-12,W,548479,381120,929599
2024-07-13,A,424138,300881,725019
2024-07-14,U,303034,217483,520517
2024-07-15,W,514909,360359,875268
2024-07-16,W,565584,408295,973879
2024-07-17,W,579034,417491,996525
2024-07-18,W,563700,423510,987210
2024-07-19,W,536479,407254,943733
2024-07-20,A,415213,336971,752184
2024-07-21,U,336062,262703,598765
2024-07-22,W,536657,384948,921605
2024-07-23,W,563934,431681,995615
2024-07-24,W,574946,434300,1009246
2024-07-25,W,571492,427841,999333
2024-07-26,W,543502,393133,936635
